n_inducing,rmse_log,mae_log,r2_log,rmse_orig,mae_orig,r2_orig,mean_train_time,mean_infer_time,mean_ip_time,mean_fold_time,total_wall_time,mean_stopped_epoch,n_predictions
128,0.5396053254228089,0.4162294255026981,0.4142789957019526,4.589985433215562,2.658478461300634,0.43834164068038894,107.2510791149772,0.030861547894476513,11.073430439503031,118.35537110237472,13255.801563465968,50.0,48852
256,0.5575784594298245,0.4301601307331406,0.37461088312106317,4.703323751972694,2.7644623551735164,0.4102616625777311,105.76947061266817,0.030169089798749025,18.255460259234365,124.05509996170129,13894.171195710544,50.0,48852
512,0.585005575028095,0.44926027722401324,0.311572272544397,4.970241981434671,2.9302212162721735,0.34142585134243875,110.98224102361876,0.035141164981593774,34.97664830689401,145.99403049549437,16351.33141549537,50.0,48852
1024,0.5983340642671866,0.45832992423168006,0.27984529636815325,5.100806804090663,3.0084108331256147,0.3063708090496403,145.3803527530607,0.040231542354117016,65.71673708544196,211.13732138085678,23647.37999465596,50.0,48852
