site,state,n_inducing,n_train,n_test,rmse_log,mae_log,r2_log,rmse_orig,mae_orig,r2_orig,train_time,infer_time,ip_time,total_time,stopped_epoch,param_base_scale,param_summer_scale,param_winter_scale,param_seasonal_scale,param_aot_period_days,param_smog_period_days,param_residual_period_days,param_noise
112460_42877,ID,128,48144,708,0.47327923159807606,0.3664542823754208,0.42754137490769606,3.3414965700900594,2.1411379295335538,0.582700349070103,108.56100550713018,0.020592971239238977,8.371677920222282,116.9532763985917,50,0.1376216858625412,0.42840713262557983,0.3876604735851288,0.6544166803359985,521.6973208332919,567.5535262228863,396.07929390157307,0.24181446433067322
112460_42877,ID,256,48144,708,0.5505874778573395,0.43392304718227864,0.22524949399810812,3.3524376791034864,2.4828441849991316,0.5799631349636559,99.17859708610922,0.044087470043450594,15.54611056810245,114.76879512425512,50,0.16264361143112183,0.443645179271698,0.40435466170310974,0.6409602761268616,403.4937176868869,523.6046831169016,397.8264708456146,0.21632325649261475
112460_42877,ID,512,48144,708,0.46444075489803677,0.3514497607611968,0.4487230256466752,3.050187915090758,1.9606210889571023,0.6522884041788459,111.67180073913187,0.04329704400151968,25.835931687615812,137.5510294707492,50,0.18982546031475067,0.45700475573539734,0.3816520571708679,0.6386405825614929,354.4655601998108,504.809570248039,408.2697029094271,0.19542773067951202
112460_42877,ID,1024,48144,708,0.4378457266687847,0.3298624433512142,0.5100503638001762,3.1220764086686215,1.8554639134692177,0.6357051452671814,144.3840863360092,0.038986523635685444,60.19998303800821,204.6230558976531,50,0.20709328353405,0.47494909167289734,0.4010998606681824,0.6238083243370056,331.75456350490765,488.5986751736935,416.5915133569335,0.18401451408863068
116237_47536,ID,128,48123,729,0.479575714786461,0.3702973291345658,0.5334573840390112,6.512732401250805,4.21455009120889,0.46767890801162004,98.0783537402749,0.020173741038888693,9.08611494814977,107.18464242946357,50,0.1389780342578888,0.4185681641101837,0.38046374917030334,0.668014407157898,520.516647472548,568.3207018223812,395.3168244325369,0.24125936627388
116237_47536,ID,256,48123,729,0.4597940168399995,0.3540792561856036,0.5711518055848561,6.418764304453463,4.076877676692359,0.4829291393158076,98.67732464103028,0.03660182561725378,18.969317333307117,117.68324379995465,50,0.15779276192188263,0.4429081082344055,0.39952990412712097,0.629956841468811,402.0516143203167,533.4624743916362,407.22941494363596,0.2142445147037506
116237_47536,ID,512,48123,729,0.4662941687173275,0.36683456717221286,0.5589407614039852,6.957145978669497,4.2823159956355505,0.3925515355970035,99.70418985001743,0.022763445042073727,31.069521427620202,130.7964747226797,50,0.19002704322338104,0.45574426651000977,0.3856704831123352,0.6253220438957214,350.44389836880873,504.3774690157349,414.61100567001233,0.19559288024902344
116237_47536,ID,1024,48123,729,0.5198406324961399,0.4158666263242735,0.4518273045611134,7.650492330413318,4.780896414415357,0.2654422001503448,135.2177826212719,0.02707627322524786,60.74100283300504,195.9858617275022,50,0.20349939167499542,0.47339826822280884,0.40427592396736145,0.6130526065826416,333.1081544631061,488.8548929899866,417.63817926046596,0.1841551810503006
115553_48392,MT,128,48126,726,0.44497542328386347,0.33541729809420673,0.49298785969901393,7.580966968981229,4.566456118888465,0.520952186260462,87.68662716960534,0.019579350017011166,9.853202206082642,97.559408725705,50,0.1435926854610443,0.42488160729408264,0.3792800307273865,0.6587907671928406,500.58464609730294,566.1870586995287,400.4423894061355,0.24075362086296082
115553_48392,MT,256,48126,726,0.447010388783315,0.33946816969533866,0.48833991121318954,7.6494917077412286,4.58506121444538,0.5122527717447158,103.78783953702077,0.03693630825728178,24.20767601998523,128.03245186526328,50,0.15773820877075195,0.4410845637321472,0.38170358538627625,0.6372562050819397,420.0646895666217,539.4096486915822,406.74990590025936,0.2149089276790619
