fold,site,n_train,n_test,train_time,infer_time,fold_time
0,111987_46850,475,17,1.2484642192721367,0.0157947838306427,1.580714451149106
1,115195_48971,414,78,0.3243398666381836,0.013730289414525032,0.3430238142609596
2,109677_48551,289,203,0.3237565401941538,0.006893809884786606,0.3345904592424631
3,112364_48607,307,185,0.3193757552653551,0.0068746209144592285,0.33027493208646774
4,114096_46927,486,6,0.3426180761307478,0.01273101195693016,0.3593723699450493
5,105370_45440,491,1,0.3343195915222168,0.007580088451504707,0.3466675952076912
6,109455_47049,490,2,0.3316229470074177,0.007202399894595146,0.3427488002926111
