fold,n_sites,n_obs,rmse_log,mae_log,r2_log
0,2,388,0.4762648004825897,0.4003453398165382,-0.8200570205106485
1,2,23,0.7238187787733387,0.6346179053421198,-0.12307182151778062
2,1,1,0.921071979725451,0.921071979725451,
3,1,78,1.3691389088912338,1.3515661284625982,-35.64592017671028
4,1,2,0.14802744508510526,0.14384014175644044,-13.276762519946276
