fold,n_train,n_test,train_time,infer_time,fold_time
0,104,388,1.1555694565176964,0.00692986324429512,1.4283690955489874
1,469,23,0.32476472295820713,0.007633980363607407,0.33486385457217693
2,491,1,0.3216105904430151,0.007509604096412659,0.33292749337852
3,414,78,0.3185706175863743,0.006821870803833008,0.32947024144232273
4,490,2,0.32050724513828754,0.01881798356771469,0.34336476027965546
