site,n_obs,rmse_log,mae_log,r2_log
111987_46850,17,0.5978608077793528,0.5100856669948354,0.17489331650793583
115195_48971,78,1.3691389088912338,1.3515661284625982,-35.64592017671028
109677_48551,203,0.3273561241923027,0.26467841616197807,-0.3985524268981613
112364_48607,185,0.7589421948523326,0.6958985205792778,-2.3444867219155534
114096_46927,6,0.6463197645403473,0.5412080806952813,0.18023068312827162
105370_45440,1,0.921071979725451,0.921071979725451,
109455_47049,2,0.14802744508510526,0.14384014175644044,-13.276762519946276
