fold,site,n_train,n_test,train_time,infer_time,fold_time
0,115553_48392,2000,361,2.6977523509413004,0.0753350779414177,3.0684310644865036
1,114021_46842,2000,362,1.5035304818302393,0.060199055820703506,1.568765141069889
2,114158_46244,2000,364,1.504685802385211,0.060994017869234085,1.5696099642664194
3,115324_47594,2000,362,1.5141279492527246,0.059834567829966545,1.5795765314251184
4,112501_46003,2000,365,1.5023785214871168,0.05934281833469868,1.5671230275183916
5,111092_44658,2000,361,1.4803540371358395,0.05975719541311264,1.543519001454115
6,113484_47177,2000,365,1.4931316450238228,0.05973628908395767,1.555898578837514
7,112013_46659,2000,365,1.502384165301919,0.059096161276102066,1.5649901255965233
8,111303_47494,2000,365,1.5064715072512627,0.059440817683935165,1.5692650340497494
9,111056_45684,2000,352,1.5066741667687893,0.059195395559072495,1.5692862700670958
10,114224_47013,2000,365,1.5022755563259125,0.06350045278668404,1.569685459136963
11,105370_45440,2000,362,1.5044023878872395,0.0604908112436533,1.5685692001134157
12,106490_45366,2000,357,1.5064775999635458,0.05976760387420654,1.5696343444287777
13,114189_48364,2000,361,1.5088652726262808,0.06019442714750767,1.5732323192059994
14,111987_46850,2000,346,1.5046800915151834,0.06095629371702671,1.570321224629879
15,109455_47049,2000,357,1.510895125567913,0.059475915506482124,1.5738486964255571
16,107862_48318,2000,365,1.5029655545949936,0.06041070446372032,1.5679014697670937
17,104677_47868,2000,365,1.5034561678767204,0.06040826626121998,1.5673836637288332
18,113155_47122,2000,110,1.5049399938434362,0.06172843091189861,1.5700237266719341
19,114001_45860,2000,118,1.5024873558431864,0.06040071323513985,1.5662856679409742
20,115672_47955,2000,106,1.5047678966075182,0.06035814620554447,1.5684786327183247
21,114270_47773,2000,93,1.5037303399294615,0.0601944699883461,1.5673443898558617
22,106557_45648,2000,120,1.5071871522814035,0.06126829609274864,1.5718396678566933
23,105103_48308,2000,93,1.5055776946246624,0.060146547853946686,1.569764632731676
24,111712_46826,2000,94,1.5024155303835869,0.06053372472524643,1.5668420474976301
25,108720_47582,2000,107,1.5078388880938292,0.0610700286924839,1.57229083776474
26,113997_48510,2000,106,1.503945829346776,0.0602954737842083,1.5694078095257282
27,104476_48487,2000,104,1.5112593062222004,0.05924662947654724,1.5738049894571304
