site,state,n_obs,rmse_log,mae_log,r2_log
116805_47789,ID,686,0.5062735904842278,0.4113729970537724,0.16920567061059433
116806_46397,ID,690,0.5363765171853292,0.4321695146188164,0.3102837645038291
116536_46335,ID,257,0.5431970885976483,0.45590494945803967,0.46991165754487374
114495_42565,ID,727,0.45691232419705513,0.35792181467165246,-0.0077704022275753015
106278_42846,WY,25,0.5861312721094306,0.48205117026361405,-0.4469865596167506
110831_44373,WY,666,0.5419521236507502,0.43827021915345044,0.24149924321959937
104677_47868,MT,704,0.48970146753789573,0.39165487003272675,0.1214436783111611
105586_41303,WY,94,0.43751660481847676,0.368649108764958,-0.4688044401872016
106962_44804,WY,261,0.44689755527937525,0.3494687721934117,0.4094304174279253
103379_46894,ND,725,0.6059093520020191,0.4584617918127209,-0.004062595408320213
103484_43558,SD,726,0.4441355193067323,0.34351082585339576,0.4163985622262798
103300_47581,ND,718,0.64826199074496,0.49650283545795176,0.2205527929048533
103640_48153,ND,721,0.6390785147100636,0.5110583548329196,-0.07273235885616214
113562_43461,ID,218,0.5524783478952862,0.4761125743749581,0.28478328565685174
114928_44170,ID,186,0.5763401214457987,0.4956522680935695,0.12419008237424811
108720_47582,MT,222,0.43440927899142284,0.3568203180456845,0.45135610337577836
113997_48510,MT,221,0.8218937254703554,0.7224755849944983,-0.5815793273122052
111712_46826,MT,147,0.34099816714668524,0.25412436888395346,0.6627916944132768
113155_47122,MT,223,0.5660574714540173,0.45233531091305546,0.2871247919688552
114001_45860,MT,236,0.38547050516612735,0.31523472335966624,0.6241323941296166
115672_47955,MT,218,0.4119192521927288,0.32353346553425416,0.62870841984705
104476_48487,MT,216,0.375472028951088,0.2971597031625335,0.5556724560412373
104818_41137,WY,223,0.39320389737471734,0.3163643700153467,0.36811857221909694
106956_44815,WY,220,0.4399410679877136,0.3492570792280136,0.39035455369387484
109759_42975,WY,216,0.428072356465737,0.3302862890006187,0.5382115800685954
110401_44565,WY,221,0.3037792307939557,0.2371753213054937,0.7554209686643018
108736_42842,WY,220,0.6972216601988193,0.5296785636700103,0.13108673901779677
114270_47773,MT,211,0.5483798970795477,0.4447359168735591,0.3725387990936124
105103_48308,MT,198,0.49398078758347397,0.3924273450448929,0.37039351924196784
106557_45648,MT,235,0.5800704751429707,0.5004957655736884,-0.17904254053269875
105290_44652,WY,228,0.32210542727168934,0.2566612869732213,0.6097135761140979
113484_47177,MT,728,0.737510832380722,0.608412368012131,-0.07702437578584553
110798_43458,WY,220,0.4689379557612244,0.3703451875439197,0.4028328399537262
105540_44503,WY,455,0.4323630646017002,0.34913532099485656,0.348869897835142
109069_44525,WY,234,0.37566624442962826,0.290178005228474,0.46357789217123413
109221_41593,WY,239,0.4442965005006336,0.35035848613688303,0.25146739681466235
105592_41312,WY,234,0.36164134785979535,0.26257167542089876,0.4109707459377062
106325_42851,WY,229,0.4227098575773255,0.3377557969927589,0.35323611570842206
109640_42846,WY,229,0.44943826620617344,0.35337653343601744,0.4465034929698781
106964_44783,WY,236,0.4384775997926731,0.3431274952387654,0.2682293249497282
103228_44078,SD,237,0.4036832321049346,0.28921682917869806,0.3419727266440058
109382_44745,WY,214,0.3655619878218569,0.28935915292995856,0.5123397754659866
110745_43483,WY,422,0.5522824435577371,0.41863873326806755,-0.018302474765718557
109017_44526,WY,409,0.5850355121359208,0.47395185169522314,-0.10882845846938438
104523_41085,WY,434,0.7588460692183885,0.6376457038398776,-0.9219629238521063
106365_42822,WY,210,0.6653978788753344,0.5676972327789711,-0.7546181096304243
116215_43648,ID,145,0.37349546736071326,0.29534645639675516,0.4099143385626268
116827_47715,ID,15,0.41505053953773996,0.34759741691196117,0.4151090190458633
102402_48642,ND,352,0.5698858958629784,0.4509877367188455,-0.164253888294013
102646_47342,ND,354,0.42802152129529636,0.3486374307773126,0.010918309829681005
108041_44280,WY,363,0.557362242351764,0.4321680070796486,-1.9846841811960858
104192_43873,WY,352,0.47978746989732596,0.3686235409159082,0.19013847047731547
105920_44340,WY,193,0.34972221478978427,0.28303829322411245,0.37153825779745653
113787_42608,ID,161,0.5365071794622893,0.4982719226880801,-19.420547743728612
116896_46921,ID,161,0.2394479875742333,0.19097077635945495,0.01464275663626391
