fold,site,state,inference_days,actual_inference_days,n_infer_points,rmse_log,mae_log,r2_log,infer_time
0,112460_42877,ID,25,25,1595,0.5545295516641268,0.4281769631961143,0.21411572436132564,0.2407417360227555
0,112460_42877,ID,50,50,3417,0.5461781218655007,0.42756933312523093,0.2376089168865,0.12975313607603312
0,112460_42877,ID,100,100,6545,0.4959632127928495,0.3889269200469659,0.3713511317419932,0.21440525515936315
0,112460_42877,ID,150,150,9853,0.5195590542545595,0.4026272712193081,0.3101112802641228,0.43169156298972666
0,112460_42877,ID,200,200,12640,0.4879144121091094,0.37406660830177685,0.3915897782824844,0.7008962030522525
0,112460_42877,ID,250,250,16559,0.4823795735198389,0.37265024853842016,0.40531494120447487,1.636955935973674
0,112460_42877,ID,300,300,19878,0.46898211057549294,0.3586178247234811,0.4378894165506251,2.6374142731074244
0,112460_42877,ID,350,350,23075,0.467097495901071,0.3580990614088341,0.4423980461814999,2.756638388847932
0,112460_42877,ID,400,400,26761,0.47889577336090644,0.367437959304014,0.41387368937029434,3.768010513158515
1,116237_47536,ID,25,25,1719,0.5737974421261879,0.4461100415797032,0.3321265635360121,0.28073890903033316
1,116237_47536,ID,50,50,3386,0.5337031545343263,0.41685679399052555,0.42220138805436747,0.13266229908913374
1,116237_47536,ID,100,100,6562,0.5074055542091972,0.3922215447328424,0.47773924974111603,0.21592981601133943
1,116237_47536,ID,150,150,9611,0.48647143209703564,0.3788780703629612,0.5199442922687183,0.4063053522258997
1,116237_47536,ID,200,200,13407,0.48287566182408775,0.380372355724634,0.527014760983687,0.7820949689485133
1,116237_47536,ID,250,250,16417,0.47317164901402786,0.3644396828205647,0.5458342444836615,1.5440046209841967
1,116237_47536,ID,300,300,19900,0.469854753184323,0.36395236692153077,0.5521792592761703,2.6106492311228067
1,116237_47536,ID,350,350,22785,0.4656401466773306,0.36039891119779766,0.5601771490076394,2.7068090580869466
1,116237_47536,ID,400,400,26337,0.4776434615814623,0.3684977507107204,0.5372092937740836,3.6971662149298936
2,115553_48392,MT,25,25,1685,0.6977757522325685,0.5400495946870164,-0.24674620820876147,0.16458859387785196
2,115553_48392,MT,50,50,3282,0.5349186249528941,0.4003905123709963,0.26730749676837295,0.12806029384955764
2,115553_48392,MT,100,100,6622,0.4749478453362767,0.37011508026104073,0.42238541288006304,0.21768094808794558
2,115553_48392,MT,150,150,10106,0.46765052607774055,0.35393650528989723,0.4399985347866041,0.45980146480724216
2,115553_48392,MT,200,200,13121,0.47226336945083386,0.3595056931662117,0.42889648712043993,1.6305001510772854
2,115553_48392,MT,250,250,16351,0.4674710054087368,0.35011485395800157,0.4404283965577406,1.1153821900952607
2,115553_48392,MT,300,300,20086,0.44597472469689564,0.34608219098035636,0.4907080625056899,1.9040662329643965
2,115553_48392,MT,350,350,23107,0.4446494585221817,0.34323022017971616,0.493730406588737,2.8051480390131474
2,115553_48392,MT,400,400,26301,0.4493709178537034,0.34294518402646595,0.4829217932888732,3.5409470479935408
3,114021_46842,MT,25,25,1671,0.567156243638908,0.4392422001466968,-0.13121034740711734,0.17337250104174018
3,114021_46842,MT,50,50,3283,0.5472913665299352,0.4318183087566555,-0.053355891472066874,0.1377601120620966
3,114021_46842,MT,100,100,6580,0.5293164965642143,0.41631400550600534,0.014699296649964833,0.2149443260859698
3,114021_46842,MT,150,150,10012,0.521441746589835,0.40802306918812925,0.04379825973420104,0.44206095999106765
3,114021_46842,MT,200,200,13312,0.5018734093506929,0.39805559322356615,0.11421911006214192,1.6091174639295787
3,114021_46842,MT,250,250,16378,0.5073032303417929,0.40535631460534743,0.09494871424500784,1.1947482749819756
3,114021_46842,MT,300,300,19497,0.514574827942361,0.4139355727699977,0.06881706345217431,1.745670384960249
3,114021_46842,MT,350,350,22859,0.513807462521152,0.4124753523562891,0.07159226640260907,2.8330002021975815
3,114021_46842,MT,400,400,26108,0.5235303960049996,0.4211963815569271,0.03612273287403345,3.5912047990132123
4,114158_46244,MT,25,25,1622,0.7201404792303046,0.5718000905118156,0.20996061467434912,0.16285923309624195
4,114158_46244,MT,50,50,3298,0.7830041955154343,0.6174742318963528,0.0660094676689299,0.1243779519572854
4,114158_46244,MT,100,100,6457,0.7574067063618664,0.6051686503919835,0.12607816957702256,0.20144740492105484
4,114158_46244,MT,150,150,9828,0.7326168471926902,0.580953960531496,0.1823487621719858,0.4108757448848337
4,114158_46244,MT,200,200,13273,0.7584208153169371,0.598847407301628,0.12373637550997973,1.1671897920314223
4,114158_46244,MT,250,250,16289,0.7733666708498789,0.6058934631424951,0.08885981947545674,1.0808909910265356
4,114158_46244,MT,300,300,19357,0.7689705165246452,0.6078146686155446,0.09918901635659616,2.040095633128658
4,114158_46244,MT,350,350,22994,0.7705590316643111,0.6059280110366183,0.09546343816486513,2.80782523797825
4,114158_46244,MT,400,400,26200,0.7814442672205747,0.6132081914837118,0.06972721775327506,3.499932400882244
5,115324_47594,MT,25,25,1682,0.5198771575405353,0.4011582345530166,0.1684945039106146,0.1705752790439874
5,115324_47594,MT,50,50,3259,0.5041075243329917,0.38532268996161634,0.21817417417099894,0.13104562601074576
5,115324_47594,MT,100,100,6485,0.48631817936091787,0.3730287282840696,0.2723799434775238,0.20788083015941083
5,115324_47594,MT,150,150,10109,0.45892139946397265,0.35233114887872524,0.3520518245990649,1.2212701551616192
5,115324_47594,MT,200,200,13323,0.45032711017192684,0.3487318605937018,0.3760930288911416,0.7640009929891676
5,115324_47594,MT,250,250,16427,0.4557712324202927,0.34993082170689654,0.3609166955359888,2.2478983220644295
5,115324_47594,MT,300,300,19591,0.46535342681672587,0.3660096720944265,0.3337618686294409,2.60755629488267
5,115324_47594,MT,350,350,23357,0.4587800561030843,0.3634909654726976,0.35245088670221825,3.3601778170559555
