site,state,n_obs,rmse_log,mae_log,r2_log
113997_48510,MT,221,0.9284946416998255,0.8225820436851712,-1.0184521268889384
111712_46826,MT,147,0.3443456069340882,0.25926076989297947,0.6561387266478325
113155_47122,MT,223,0.637192144085326,0.5038193282407372,0.09669735331753149
114001_45860,MT,236,0.38474876759016735,0.31133149762090334,0.625538591527237
115672_47955,MT,218,0.4093991629627264,0.3176400915512279,0.6332375875188522
104476_48487,MT,216,0.36937367224072026,0.291135443323133,0.5699886375718168
104818_41137,WY,223,0.38259450111552423,0.3067039793967533,0.40175729612745437
106956_44815,WY,220,0.44133347128116723,0.35430251599227464,0.3864894193848877
109759_42975,WY,216,0.4143074552045991,0.325050775423891,0.5674322199379981
110401_44565,WY,221,0.30429240520775563,0.2351009937045745,0.7545939357285983
108736_42842,WY,220,0.8041208200538934,0.6455667870396501,-0.1557856493034271
114270_47773,MT,211,0.4547982702786763,0.358802512268935,0.5684198779655285
105103_48308,MT,198,0.49608885785521495,0.399555908207533,0.36500834322745457
106557_45648,MT,235,0.6111260484428015,0.5320719569740002,-0.308668182793002
105290_44652,WY,228,0.32563730678432296,0.25895726132526825,0.6011076861415325
113484_47177,MT,728,0.6990760080481919,0.5724577560027164,0.03230717539895556
110798_43458,WY,220,0.45006533076834976,0.3483564747751956,0.44993214723168884
105540_44503,WY,455,0.4377251063205435,0.3535468385215089,0.3326194979075524
109069_44525,WY,234,0.36952700578362,0.2892016303145814,0.48096733832640826
109221_41593,WY,239,0.4123141550273627,0.31981572334491715,0.355353802067792
105592_41312,WY,234,0.3602423275861506,0.2656411038076956,0.4155192850653264
106325_42851,WY,229,0.39524897134122655,0.31073989596812934,0.4345391965432206
109640_42846,WY,229,0.36870522343302137,0.28699105962245947,0.6274939144646847
106964_44783,WY,236,0.44344898276928957,0.3378180347149242,0.25154188053898596
103228_44078,SD,237,0.40361933663180105,0.2982761465782008,0.3421810168733652
109382_44745,WY,214,0.357909934614691,0.29570530126210226,0.5325418019457575
110745_43483,WY,422,0.5077885072449634,0.38474364147491863,0.13916471840612998
109017_44526,WY,409,0.5664249837722691,0.45208533242405124,-0.03940477511581375
104523_41085,WY,434,0.5869745629704836,0.46722763756696734,-0.14994267222193014
106365_42822,WY,210,0.6057441158578292,0.507194942663382,-0.4541131151012914
116215_43648,ID,145,0.37117902344952625,0.2910648716778144,0.4172111421538973
116827_47715,ID,15,0.46323505683319344,0.3825821696741229,0.2714224309994693
102402_48642,ND,352,0.5501252486323995,0.43388606753424985,-0.08491330503371941
102646_47342,ND,354,0.43059786067856115,0.3492408006761873,-0.0010244503099337
108041_44280,WY,363,0.5634683744520819,0.4386714536264278,-2.0504392861996608
104192_43873,WY,352,0.4826867207418753,0.3783399107064516,0.18032126568699913
105920_44340,WY,193,0.3523098020256533,0.284526194796032,0.36220390257833757
113787_42608,ID,161,0.5435419870219578,0.49860890470691344,-19.95957665398166
116896_46921,ID,161,0.2631579421992433,0.21308212877013485,-0.19015710628330496
116709_46579,ID,150,0.38063390380281475,0.30524356178822576,-1.4132037842248164
116359_48998,ID,126,0.40102347801172605,0.34812505299807056,-4.046751125362878
111615_42652,ID,163,0.3999833552432877,0.3247144362078466,-1.798035450314349
111800_43809,ID,153,0.1716785252514926,0.13789979900299276,-1.1072336269398297
116979_44262,ID,141,0.334406433622639,0.27508381788225617,-6.120347124734625
116347_46061,ID,160,0.3481862311971076,0.24092571781271904,-0.26388075273513323
115195_48971,MT,78,1.6116180082333804,1.583301950944585,-49.77557253333555
112459_42590,ID,143,0.6369776795848842,0.5733354403264433,-2.339816850970587
103264_47601,ND,167,0.5931762761951147,0.5040892630052249,-0.5265831406663963
116359_48894,ID,124,0.5772243197637351,0.5337313574903243,-5.554937627999913
116886_47339,ID,209,0.49506398781359895,0.39233200593895484,-0.08786913205410252
109677_48551,MT,203,0.4242895089725876,0.33992063126143435,-1.3494293937764752
112364_48607,MT,185,0.5237003864484936,0.3750722237069983,-0.59249422819709
105620_41320,WY,70,0.46300313343740884,0.3952371962971305,-3.8173900155958522
106814_41452,WY,11,0.6859424073262603,0.6034994090504233,-1.7341562037275438
114096_46927,MT,6,0.6402265533915615,0.5244996868036288,0.19561465366635988
