fold,site,state,base_scale,summer_scale,winter_scale,seasonal_scale,aot_period_days,smog_period_days,residual_period_days,noise
23,112456_42978,ID,0.11191025376319885,0.0571431964635849,0.3522905111312866,0.15931963920593262,365.2499977103157,365.2499977103157,365.2499977103157,0.1378554105758667
24,116563_43580,ID,0.10038202255964279,0.04449523612856865,0.23532885313034058,0.08731462806463242,365.24999257904545,365.24999257904545,365.24999257904545,0.17197339236736298
25,111303_47494,MT,0.11083092540502548,0.049471981823444366,0.23520486056804657,0.17696279287338257,365.2499902356776,365.2499902356776,365.2499902356776,0.14208358526229858
26,105213_43648,WY,0.09639587253332138,0.0445634126663208,0.2731384336948395,0.22365768253803253,365.25000187441685,365.25000187441685,365.25000187441685,0.14945697784423828
27,111056_45684,MT,0.08765668421983719,0.06128851696848869,0.2716239392757416,0.4147498309612274,365.249998352269,365.249998352269,365.249998352269,0.11424846202135086
28,114224_47013,MT,0.07857731729745865,0.025824332609772682,0.27152562141418457,0.03789751976728439,365.25000974767534,365.25000974767534,365.25000974767534,0.13390271365642548
29,105370_45440,MT,0.09013300389051437,0.06036705896258354,0.29313549399375916,0.08877801895141602,365.24999411090204,365.24999411090204,365.24999411090204,0.13655789196491241
30,106490_45366,MT,0.11199065297842026,0.059592511504888535,0.2616766393184662,0.05709459260106087,365.2500242522034,365.2500242522034,365.2500242522034,0.13169921934604645
31,114189_48364,MT,0.11790095269680023,0.036209069192409515,0.4024048149585724,0.060178667306900024,365.25000300867083,365.25000300867083,365.25000300867083,0.14720025658607483
32,111987_46850,MT,0.08457481116056442,0.026546578854322433,0.32584458589553833,0.031071247532963753,365.25000297905086,365.25000297905086,365.25000297905086,0.12843728065490723
33,104778_41182,WY,0.08876276761293411,0.046313006430864334,0.2237703949213028,0.036966174840927124,365.24998933609584,365.24998933609584,365.24998933609584,0.15243500471115112
34,109455_47049,MT,0.10345876961946487,0.04848835617303848,0.25723057985305786,0.05709189549088478,365.25000396527804,365.25000396527804,365.25000396527804,0.12078480422496796
35,107862_48318,MT,0.09731414169073105,0.09317529946565628,0.251603364944458,0.11139355599880219,365.24999486204894,365.24999486204894,365.24999486204894,0.18926532566547394
36,107549_43082,WY,0.10588036477565765,0.05204588547348976,0.28682976961135864,0.1759563684463501,365.249990607407,365.249990607407,365.249990607407,0.13725538551807404
37,108720_42530,WY,0.11002154648303986,0.026572132483124733,0.24578405916690826,0.016962984576821327,365.24999063650984,365.24999063650984,365.24999063650984,0.12069329619407654
38,114371_43683,ID,0.09955206513404846,0.03633603826165199,0.31315967440605164,0.01765812560915947,365.25000006325376,365.25000006325376,365.25000006325376,0.14592625200748444
39,116557_48292,ID,0.09435728937387466,0.05534921586513519,0.33290407061576843,0.10381421446800232,365.24999521987496,365.24999521987496,365.24999521987496,0.1322353482246399
40,114252_42680,ID,0.09357479959726334,0.05172932893037796,0.29024451971054077,0.10134421288967133,365.24999522317927,365.24999522317927,365.24999522317927,0.1636994630098343
41,116805_47789,ID,0.10484667867422104,0.024416565895080566,0.2991074025630951,0.02144487015902996,365.25000484946986,365.25000484946986,365.25000484946986,0.1426420658826828
42,116806_46397,ID,0.11286484450101852,0.02503794990479946,0.2905510663986206,0.04057938978075981,365.249998655119,365.249998655119,365.249998655119,0.1581176072359085
43,116536_46335,ID,0.10567543655633926,0.04237820953130722,0.20440217852592468,0.06392130255699158,365.2499946591412,365.2499946591412,365.2499946591412,0.16420096158981323
44,114495_42565,ID,0.11558712273836136,0.04937347397208214,0.2540144622325897,0.057792581617832184,365.2499919097968,365.2499919097968,365.2499919097968,0.13530977070331573
45,106278_42846,WY,0.11712430417537689,0.04740418866276741,0.41269999742507935,0.08898674696683884,365.25000952960886,365.25000952960886,365.25000952960886,0.144629567861557
46,110831_44373,WY,0.0948098674416542,0.025513723492622375,0.25626882910728455,0.07427623122930527,365.25000664263365,365.25000664263365,365.25000664263365,0.11705084890127182
47,104677_47868,MT,0.11049498617649078,0.058311380445957184,0.2724420428276062,0.1185731366276741,365.24999535943044,365.24999535943044,365.24999535943044,0.13014324009418488
48,105586_41303,WY,0.10783888399600983,0.0627574473619461,0.2276877909898758,0.19554094970226288,365.2499932362709,365.2499932362709,365.2499932362709,0.13504573702812195
49,106962_44804,WY,0.10469383001327515,0.0312043409794569,0.225623220205307,0.02252879925072193,365.2500110904105,365.2500110904105,365.2500110904105,0.12624695897102356
50,103379_46894,ND,0.10126761347055435,0.07323536276817322,0.2945699989795685,0.22375909984111786,365.24999419923125,365.24999419923125,365.24999419923125,0.1428336352109909
51,103484_43558,SD,0.12463623285293579,0.047445811331272125,0.30788642168045044,0.22651775181293488,365.2500018324474,365.2500018324474,365.2500018324474,0.12665939331054688
52,103300_47581,ND,0.09089832752943039,0.08394089341163635,0.17191776633262634,0.25283199548721313,365.2499950020552,365.2499950020552,365.2499950020552,0.10536426305770874
53,103640_48153,ND,0.11751522868871689,0.052415940910577774,0.42707258462905884,0.07071022689342499,365.2499889982701,365.2499889982701,365.2499889982701,0.15196947753429413
54,113562_43461,ID,0.11760102212429047,0.032766543328762054,0.2720733880996704,0.07091192156076431,365.25001001755305,365.25001001755305,365.25001001755305,0.16254767775535583
55,114928_44170,ID,0.09759517014026642,0.08460292965173721,0.15646867454051971,0.5246336460113525,365.2499904615205,365.2499904615205,365.2499904615205,0.08201126009225845
56,108720_47582,MT,0.08656810224056244,0.08108192682266235,0.18900442123413086,0.20296238362789154,365.2500105522212,365.2500105522212,365.2500105522212,0.10589601844549179
57,113997_48510,MT,0.0883740708231926,0.08057157695293427,0.2626982033252716,0.16220292448997498,365.2499957758424,365.2499957758424,365.2499957758424,0.11561235785484314
58,111712_46826,MT,0.08718086779117584,0.04620307683944702,0.26903679966926575,0.09572691470384598,365.25001005238863,365.25001005238863,365.25001005238863,0.14669957756996155
59,113155_47122,MT,0.08674786239862442,0.05674109235405922,0.27525630593299866,0.22793376445770264,365.25000145107765,365.25000145107765,365.25000145107765,0.11879347264766693
60,114001_45860,MT,0.11206185817718506,0.05026168003678322,0.32627084851264954,0.14478616416454315,365.25001177914066,365.25001177914066,365.25001177914066,0.16002802550792694
61,115672_47955,MT,0.09505599737167358,0.03338474780321121,0.27976056933403015,0.03330061212182045,365.249983366741,365.249983366741,365.249983366741,0.1251409649848938
62,104476_48487,MT,0.08677954971790314,0.048980988562107086,0.31292641162872314,0.013755273073911667,365.2500122668397,365.2500122668397,365.2500122668397,0.10969049483537674
63,104818_41137,WY,0.11469238996505737,0.03853161633014679,0.3053547441959381,0.030294185504317284,365.24999111006684,365.24999111006684,365.24999111006684,0.1333724558353424
64,106956_44815,WY,0.10581034421920776,0.07354668527841568,0.30462273955345154,0.13774535059928894,365.2500090505916,365.2500090505916,365.2500090505916,0.14015065133571625
65,109759_42975,WY,0.09554068744182587,0.03421691432595253,0.34456929564476013,0.039688773453235626,365.2500120906712,365.2500120906712,365.2500120906712,0.14089460670948029
66,110401_44565,WY,0.09518826752901077,0.04887036234140396,0.20857854187488556,0.022110790014266968,365.25001215944553,365.25001215944553,365.25001215944553,0.13862991333007812
67,108736_42842,WY,0.08712994307279587,0.044595688581466675,0.2560352087020874,0.0746462419629097,365.250002755308,365.250002755308,365.250002755308,0.13677892088890076
