fold,n_sites,n_obs,rmse_log,mae_log,r2_log
0,6,1389,0.5629894836802666,0.4325137071738071,0.36710949584176156
1,5,1560,0.9300114511155434,0.7026353262118764,-0.3070339275936975
2,4,927,0.46518365015655944,0.36981201910615796,0.1507203459352927
3,10,2836,0.6375379245751863,0.4889677789174996,0.14347719864658304
4,3,839,0.47444108525101664,0.37942755966853164,0.23365924172210462
