fold,site,base_scale,summer_scale,winter_scale,seasonal_scale,aot_period_days,smog_period_days,residual_period_days,noise
0,115553_48392,0.065901979804039,0.021938716992735863,0.18547044694423676,0.018213344737887383,365.2500013085785,365.2500013085785,365.2500013085785,0.08950060606002808
1,114021_46842,0.14591187238693237,0.022104162722826004,0.22207443416118622,0.020810991525650024,365.2500114028831,365.2500114028831,365.2500114028831,0.1341756135225296
2,114158_46244,0.1066698357462883,0.10037828236818314,0.3021041452884674,0.20812076330184937,365.2499934850397,365.2499934850397,365.2499934850397,0.08939653635025024
3,115324_47594,0.12521860003471375,0.034691326320171356,0.3102412223815918,0.03704685717821121,365.24999765518186,365.24999765518186,365.24999765518186,0.11967945843935013
4,112501_46003,0.11754032969474792,0.028965992853045464,0.2761940360069275,0.046217527240514755,365.2500041410646,365.2500041410646,365.2500041410646,0.1190248504281044
5,111092_44658,0.06483665108680725,0.03820711001753807,0.424368292093277,0.043128009885549545,365.2500109082628,365.2500109082628,365.2500109082628,0.07495779544115067
6,112013_46659,0.1252460926771164,0.050478264689445496,0.41009482741355896,0.1727409064769745,365.2500041410646,365.2500041410646,365.2500041410646,0.11146845668554306
7,111303_47494,0.19362285733222961,0.028466789051890373,0.32453832030296326,0.032859060913324356,365.249988962101,365.249988962101,365.249988962101,0.13496890664100647
8,111056_45684,0.1778264045715332,0.021748730912804604,0.3459881544113159,0.04953642189502716,365.2499928054663,365.2499928054663,365.2499928054663,0.09913644194602966
9,114224_47013,0.13647320866584778,0.042454399168491364,0.3762911856174469,0.06628597527742386,365.24999385626194,365.24999385626194,365.24999385626194,0.10796304047107697
10,105370_45440,0.14881226420402527,0.05163915827870369,0.36606770753860474,0.08268124610185623,365.2500033656344,365.2500033656344,365.2500033656344,0.1281382143497467
11,106490_45366,0.11890532821416855,0.10119475424289703,0.34145933389663696,0.3895915448665619,365.2500006854314,365.2500006854314,365.2500006854314,0.09724842011928558
12,114189_48364,0.13506561517715454,0.020772047340869904,0.2888251543045044,0.026237910613417625,365.24999770272393,365.24999770272393,365.24999770272393,0.11631637811660767
13,111987_46850,0.13291633129119873,0.025963691994547844,0.4289672076702118,0.036645811051130295,365.2499640220482,365.2499640220482,365.2499640220482,0.0949699729681015
14,109455_47049,0.09603690356016159,0.039031121879816055,0.29089969396591187,0.09111247956752777,365.2499913216173,365.2499913216173,365.2499913216173,0.11780354380607605
15,107862_48318,0.14304158091545105,0.06889456510543823,0.30981358885765076,0.12496540695428848,365.2500068881144,365.2500068881144,365.2500068881144,0.11788693070411682
16,104677_47868,0.1303894966840744,0.05264552682638168,0.32743996381759644,0.10687542706727982,365.24999326381845,365.24999326381845,365.24999326381845,0.13830672204494476
17,108720_47582,0.11065104603767395,0.029628053307533264,0.3881542384624481,0.03296086564660072,365.25001554964507,365.25001554964507,365.25001554964507,0.12732183933258057
18,113997_48510,0.13228066265583038,0.03261260315775871,0.3649989366531372,0.10722652822732925,365.24998989701373,365.24998989701373,365.24998989701373,0.12613077461719513
19,111712_46826,0.12631940841674805,0.04387124255299568,0.2937074601650238,0.05591769143939018,365.2499931548038,365.2499931548038,365.2499931548038,0.11822593212127686
20,113155_47122,0.10950256884098053,0.049514926970005035,0.35427021980285645,0.19748139381408691,365.25000742937493,365.25000742937493,365.25000742937493,0.09719815105199814
21,114001_45860,0.12231680005788803,0.02609272114932537,0.37931251525878906,0.039521269500255585,365.2500022483835,365.2500022483835,365.2500022483835,0.11929651349782944
22,115672_47955,0.14851313829421997,0.03427257016301155,0.38514673709869385,0.0937969982624054,365.24999279810766,365.24999279810766,365.24999279810766,0.14119933545589447
23,104476_48487,0.11717865616083145,0.014979027211666107,0.39822688698768616,0.022332068532705307,365.25000320726184,365.25000320726184,365.25000320726184,0.10246269404888153
24,114270_47773,0.08278059214353561,0.03765173256397247,0.29967767000198364,0.12129341065883636,365.2499897256617,365.2499897256617,365.2499897256617,0.11607551574707031
25,105103_48308,0.09926396608352661,0.015809541568160057,0.29960694909095764,0.01942385919392109,365.2499999800858,365.2499999800858,365.2499999800858,0.13916409015655518
26,106557_45648,0.11489391326904297,0.055266931653022766,0.33020123839378357,0.25765281915664673,365.2500006920275,365.2500006920275,365.2500006920275,0.13847333192825317
27,113484_47177,0.08168751746416092,0.07942768931388855,0.2693028748035431,0.3375833332538605,365.25000122147327,365.25000122147327,365.25000122147327,0.08659110963344574
28,115195_48971,0.07672253996133804,0.0162595696747303,0.31993868947029114,0.02644096314907074,365.2500012545192,365.2500012545192,365.2500012545192,0.09494876116514206
29,109677_48551,0.10377270728349686,0.05694765970110893,0.3131367266178131,0.10673469305038452,365.250009284037,365.250009284037,365.250009284037,0.08334613591432571
30,112364_48607,0.13813266158103943,0.06005040183663368,0.365521639585495,0.13865351676940918,365.25000396784793,365.25000396784793,365.25000396784793,0.12899236381053925
31,114096_46927,0.12827803194522858,0.028879521414637566,0.4051629304885864,0.11000853776931763,365.24998780089663,365.24998780089663,365.24998780089663,0.09278683364391327
