fold,site,n_train,n_test,batch_size,train_time,infer_time,fold_time,stopped_epoch
0,115553_48392,14846,726,4000,11.294568358920515,0.32015972305089235,11.614728081971407,140
1,114021_46842,14845,727,4000,17.58801679313183,0.33683402999304235,17.92485082312487,199
2,114158_46244,14857,715,4000,14.824984731851146,0.13607270596548915,14.961057437816635,200
3,115324_47594,14853,719,4000,9.376995753031224,0.1348436139523983,9.511839366983622,120
4,112501_46003,14842,730,4000,8.666264198021963,0.11713113589212298,8.783395333914086,106
5,111092_44658,14851,721,4000,9.46840612613596,0.12100348994135857,9.589409616077319,89
6,112013_46659,14842,730,4000,9.564841869985685,0.18432620796374977,9.749168077949435,133
7,111303_47494,14845,727,4000,6.323751935036853,0.1169773549772799,6.440729290014133,85
8,111056_45684,14862,710,4000,7.816561943851411,0.11195321986451745,7.928515163715929,110
9,114224_47013,14875,697,4000,10.192905257921666,0.11818540701642632,10.311090664938092,139
10,105370_45440,14844,728,4000,8.541647100122645,0.11761036608368158,8.659257466206327,116
11,106490_45366,14865,707,4000,14.915210503851995,0.2975705990102142,15.212781102862209,200
12,114189_48364,14846,726,4000,12.486293443012983,0.11474780295975506,12.601041245972738,166
13,111987_46850,14844,728,4000,8.388223273213953,0.11648786487057805,8.50471113808453,110
14,109455_47049,14848,724,4000,14.4695579840336,0.3196848121006042,14.789242796134204,200
15,107862_48318,14846,726,4000,14.08758874121122,0.28662320715375245,14.374211948364973,158
16,104677_47868,14868,704,4000,6.918960387120023,0.11719899484887719,7.036159381968901,96
17,108720_47582,15350,222,4000,14.808811601949856,0.12341926316730678,14.932230865117162,200
18,113997_48510,15351,221,4000,15.657062306068838,0.29538475489243865,15.952447060961276,200
19,111712_46826,15425,147,4000,13.514141211984679,0.11358142085373402,13.627722632838413,153
20,113155_47122,15349,223,4000,8.354362761136144,0.11065772804431617,8.46502048918046,119
21,114001_45860,15336,236,4000,8.337583100888878,0.11528045311570168,8.45286355400458,113
22,115672_47955,15354,218,4000,7.6696816850453615,0.11187740904279053,7.781559094088152,98
23,104476_48487,15356,216,4000,8.700746858026832,0.11278657102957368,8.813533429056406,118
24,114270_47773,15361,211,4000,15.264555738074705,0.2738930620253086,15.538448800100014,188
25,105103_48308,15374,198,4000,10.851683617802337,0.11535182292573154,10.967035440728068,150
26,106557_45648,15337,235,4000,9.835520219057798,0.11447088187560439,9.949991100933403,138
27,113484_47177,14844,728,4000,14.120075840037316,0.11534701311029494,14.235422853147611,200
28,115195_48971,15494,78,4000,14.356474770931527,0.11413243203423917,14.470607202965766,177
29,109677_48551,15369,203,4000,9.501448899041861,0.12019422790035605,9.621643126942217,130
30,112364_48607,15387,185,4000,10.910248644882813,0.11426447192206979,11.024513116804883,154
31,114096_46927,15566,6,4000,14.152419927995652,0.11939201783388853,14.27181194582954,200
