ll_id,state,n_obs
111987_46850,MT,3937
111800_43809,ID,604
103264_47601,ND,841
105540_44503,WY,2805
111303_47494,MT,4742
111712_46826,MT,1832
103514_46950,ND,430
112046_43465,ID,2271
105504_44266,WY,371
109530_41556,WY,517
105236_43677,WY,553
111092_44658,MT,5840
108041_44280,WY,969
109761_41589,WY,136
113886_46881,MT,182
115553_48392,MT,5984
107862_48318,MT,3334
106950_44797,WY,281
116806_46397,ID,2229
114001_45860,MT,1844
